name;tm;nat;age;pos;cm;kg;app;min;G;A;yel;red;spG;pa%;aerWon;moM;tac;int;fouls;offW;clear;drbP;blcks;ownG;KP;drb;fouled;cOff;disp;unsT;avgP;crosses;longB;thrB
Christian Günter;Freiburg;de;24;D(L),M(L);185;80;29(2);2561;-;1;3;-;0.9;72.9;1.2;-;1.9;1.3;1.5;0.1;2;0.7;0.2;-;0.9;0.9;1;-;0.8;1.1;34.2;0.4;1.5;-
Julian Schuster;Freiburg;de;32;M(C);189;80;0(8);36;1;-;-;-;0.3;85.5;0.1;-;0.4;0.1;0.3;-;0.1;-;-;-;-;-;-;-;-;-;6.9;-;0.5;-
Amir Abrashi;Freiburg;al;27;M(C);172;71;33;2933;3;1;10;-;1.2;85.3;1.9;1;2.1;1.8;2.7;0.1;1.2;1;0.4;-;0.8;0.9;2.1;-;1.2;1.2;56.5;0.1;2.8;-
Fabian Schleusener;Freiburg;de;25;Midfielder;186;80;0(1);11;-;-;-;-;2;71.4;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-
Marc-Oliver Kempf;Freiburg;de;22;D(C);186;87;29(1);2619;5;3;3;-;0.8;81.3;4.4;1;1.3;1.6;1.1;0.6;4.4;0.3;0.4;-;0.3;0.2;1;-;0.3;0.4;58.4;-;4.1;-
Pascal Stenzel;Freiburg;de;21;D(R);183;72;11;967;-;1;2;1;0.9;75.2;1.1;-;3.5;2.3;2.2;0.5;2.7;1.5;0.3;-;0.5;1.1;0.9;-;0.5;1.3;37.4;0.1;2.3;-
Håvard Nielsen;Freiburg;no;24;AM(L),FW;187;80;3(4);270;-;-;-;-;1;61.8;1.9;-;0.3;-;0.6;-;0.9;0.3;-;-;0.4;0.7;0.7;-;0.4;1.1;12.7;0.1;0.1;-
Caleb Stanko;Freiburg;us;24;Midfielder;180;81;1(4);121;-;-;-;-;0.2;86.5;0.4;-;0.8;0.2;0.6;-;0.4;-;-;-;0.4;0.8;0.6;-;0.2;0.4;14.8;-;0.2;-
Vincenzo Grifo;Freiburg;it;24;AM(CL);180;72;29(2);2581;14;11;4;-;3.9;74.9;1.1;8;1.5;1.1;0.6;-;0.7;0.7;0.1;-;2.5;2.3;1.4;0.4;2.4;1.3;41.5;1.9;1.7;0.1
Mike Frantz;Freiburg;de;30;M(CLR),FW;182;80;29(2);2377;6;7;4;-;1.1;67.9;2.4;1;1.5;1;1.2;-;0.6;0.5;0.1;-;1.2;0.7;1.7;0.1;1.2;1.1;26.9;0.6;1.1;-
